,ques,answer
100,can an application for pan be made on plain paper?,"Application for PAN cannot be made on plain paper. The application for PAN is to be made in the prescribed form i.e. Form 49A/49AA as the case may be. Form 49A is to be used by Indian Citizen/Indian Companies/Entities incorporated in India/Unincorporated entities formed in India and Form 49AA is to be used by individual not being a citizen of India/Entities incorporated outside India/Unincorporated entities formed outside India).In case of an applicant, being a company which has not been registered under the Companies Act, 2013, the application for allotment of a Permanent Account Number may be made in Form No. INC-7 specified under sub-section (1) of section 7 of the said Act for incorporation of the company."
101,what is tax audit?,"The dictionary meaning of the term ""audit"" is check, review, inspection, etc. There are various types of audits prescribed under different laws like company law requires a company audit, cost accounting law requires a cost audit, etc. The Income-tax Law requires the taxpayer to get the audit of the accounts of his business/profession from the view point of Income-tax Law.Section 44ABgives the provisions relating to the class of taxpayers who are required to get their accounts audited from a chartered accountant. The audit undersection 44ABaims to ascertain the compliance of various provisions of the Income-tax Law and the fulfillment of other requirements of the Income-tax Law. The audit conducted by the chartered accountant of the accounts of the taxpayer in pursuance of the requirement ofsection 44AB is called tax audit.The chartered accountant conducting the tax audit is required to give his findings, observation, etc., in the form of audit report. The report of tax audit is to be given by the chartered accountant in Form Nos. 3CA/3CB and 3CD."
102,"is there any remedy available under the act, if a person filed inaccurate or defective statement?","If any person, after filing the statement, comes to know  or discovers any inaccuracy in the information provided in the  statement, he shall inform such inaccuracy to the prescribed income-tax  authority within a period of ten days and furnish the correct  information in such manner as may be prescribed. On the other hand, the prescribed income-tax  authority may also intimate the defect to the person and give him an  opportunity of rectifying the defect within a period of thirty days from  the date of such intimation or within such extended period as may be  allowed by prescribed income-tax authority.However,  if a person fails to rectify the defect within the said period than such  statement shall be treated as an invalid statement and the provisions  of this Act shall apply as if such person had failed to furnish the  statement."
103,how to compute gross annual value of a property which is let-out throughout the year?,"The steps involved in computation of gross annual value of a property which is let-out throughout the year are already discussed earlier, hence, we will take an illustration for better understanding.IllustrationFrom the following information provided by Mr. Raja in respect of 3 properties rented out by him compute the gross annual value of all the properties.                                               ParticularsProperty A (Rs.)Property B (Rs.)Property C (Rs.)Municipal Value8,48,4848,48,4842,52,252Fair Rent2,52,2522,52,2528,48,484Standard RentNot Applicable84,2529,84,000Actual rent for the entire year9,60,00060,0009,60,000Unrealised rent(*)1,60,000NIL80,000(*)All the conditions specified for deduction of unrealised rent are satisfied.**Gross annual value will be computed as follows:Step 1:Compute reasonable expected rent of the property.Step 2:Compute actual rent of the property.Step 3:Compute gross annual value.Based on these steps the computation will be as followsParticularsProperty A (Rs.)Property B (Rs.)Property C (Rs.)Amount at Step 1 (Note 1)8,48,48484,2528,48,484Amount at Step 2 (Note 2)8,00,00060,0008,80,000Amount at Step 3,i.e.,Gross annual value (Note 3)           8,48,48484,2528,80,000 Note 1:Amount at Step 1 (,i.e.,Reasonable expected rent)is higher of municipal value or fair rent (subject to standard rent).Note 2:Amount at Step 2is actual rent after deducting unrealised rent.,i.e.,Rs. 8,00,000 (9,60,000  Rs. 1,60,000) in case of property A, Rs. 60,000 in case of property B and Rs. 8,80,000 (Rs. 9,60,000  Rs. 80,000) in case of property C.Note 3:Gross annual value will be higher of amount at Step 1 or Step 2."
104,what documents will serve as proof of address in case of individual/huf applicants?,"Copy of any of the following document will serve as proof of address in case of individual applicants being Indian citizens (including those located outside India) :Copy of following :Aadhaar Card issued by the Unique Identification Authority of India; orElector's photo identity card; orDriving License; orPassport; orPassport of the spouse; orPost office passbook having address of the applicant; orLatest property tax assessment order; orDomicile certificate issued by the Government; orAllotment letter of accommodation issued by Central or State Government of not more than three years old; orProperty Registration Document; orCopy of following documents of not more than three months oldElectricity Bill; orLandline Telephone or Broadband connection bill; orWater Bill; orConsumer gas connection card or book or piped gas bill; orBank account statement or as per Note given below ; orDepository account statement; orCredit card statement; orNote :In case of an Indian citizen residing outside India, copy of Bank Account Statement in country of residence or copy of Non-resident External (NRE) bank account statements (not more than three months old) shall be the proof of address.Certificate of identity in Original signed by a Member of Parliament or Member of Legislative Assembly or Municipal Councilor or a Gazetted officer, as the case may be.Employer certificate in original.For HUF, an affidavit made by the Karta of Hindu Undivided Family stating name, father's name and address of all the coparceners on the date of application and copy of any of the above documents in the name of Karta of HUF is required as proof of address.In case of Minor, any of the above mentioned documents of any of parents/guardians of such minor shall be deemed to be the relevant proof of address for the minor applicant."
105,where should the books of account of business be kept and for how long?,"All the books of account and related documents should be kept at the main place of business,i.e., where the business or profession is generally carried on. These documents should be preserved for a minimum of six years. Where, however, the assessment has been reopened, all books of account and other documents which were kept and maintained at the time of reopening of assessment should continue to be so kept and maintained till the assessment so reopened has been completed."
106,i do not have pan. can i furnish form 15g/15h for non-deduction of tds from interest?,"As persection 206AA, a declaration in Form No. 15G or Form No. 15H is not a valid declaration, if it does not contain PAN of the person making the declaration. If the declaration is without the PAN, then tax is to be deducted at higher of following rates : At the rate specified in the relevant provision of the Act.At the rate or rates in force, i.e., the rate prescribed in the Finance Act. At the rate of 20%."
107,what is minimum alternate tax?,For details on minimum alternate tax (MAT) refer to tutorial on Minimum Alternate Tax and Alternate Minimum Tax in the tutorial section.
108,can a partnership firm or huf claim rebate under section 87a?,"Rebate undersection 87Ais available only to an individual, hence, any person other than an individual cannot claim rebate undersection 87A."
109,what are the consequences if no declaration under the scheme is made in respect of undisclosed income prior to the commencement of the scheme?,"As per section 197(c) of the Finance Act, 2016, where any income has accrued or arisen or received or any asset has been acquired out of such income prior to the commencement of the Scheme and no declaration is made under the Scheme, then such income shall be deemed to have been accrued, arisen or received or the value of the asset acquired out of such income shall be deemed to have been acquired in the year in which a notice under section 142/143(2)/148/153A/153C is issued by the Assessing Officer and the provisions of the Income-tax Act shall apply accordingly."
110,how many times can i revise the return?,"Theoretically a return can be revised any number of times before the expiry of one year from the end of the assessment year or before assessment by the Department is completed, whichever event takes place earlier."
111,from where can i take the help of any expert on income-tax related matters?,You can take the help of tax professionals or the help of Public Relations Officer [PRO] in the local office of the Income-tax Department. You may also take assistance from Tax Return Preparers [TRPs]. You can locate your nearest TRP at www.trpscheme.com
112,what is tax on regular assessment and how is it paid?,"Under the Income-tax Act, every person has the responsibility to correctly compute and pay his due taxes. Where the Department finds that there has been understatement of income and resultant tax due, it takes measures to compute the actual tax amount that ought to have been paid. This demand raised on the person is called as Tax on regular assessment. The tax on regular assessment has to be paid within 30 days of receipt of the notice of demand."
113,are gifts of movable property received by an individual or huf charged to tax?,"If the following conditions are satisfied then value prescribed for movable property (*) received by an individual or HUF will be charged to tax:Prescribed movable property is received without consideration (i.e.,received as gift).The aggregate fair market value of such property received by the taxpayer during the year exceeds Rs. 50,000In above case, the fair market value of the prescribed movable property will be treated as income of the receiver.(*) Prescribed movable property means shares/securities, jewellery, archaeological collections, drawings, paintings, sculptures or any work of art and bullion, being capital asset of the taxpayer.Considering the above definition, nothing will be charged to tax in respect of gift of any item being a movable property other than covered in the above definition,e.g.,Nothing will be charged to tax in respect of a television set  received as gift, because  a television  set  is not covered in the definition of prescribed movable property.($)Refer next FAQ for situations in which prescribed movable property received without consideration by an individual or HUF,i.e.,received as gift is not charged to tax."
114,does any taxability arise if prescribed movable property is received by an individual or huf for less than its fair market value?,"If the following conditions are satisfied then prescribed movable property (*) received by an individual or HUF will be charged to tax($):Prescribed movable property is acquired by an individual or HUF.The aggregate fair market value of such properties acquired by the taxpayer during the year exceeds the consideration of these properties by more than Rs. 50,000. In other words, the aggregate fair market value of all such properties is higher than the consideration and the difference is more than Rs. 50,000.(*)Prescribed movable property means shares/securities, jewellery, archaeological collections, drawings, paintings, sculptures or any work of art and bullion, being capital asset of the taxpayer.Considering the above definition, nothing will be charged to tax if any movable property (other than those covered in the above definition) is received for less than its fair market valuee.g.,Nothing will be charged to tax in respect of a television set received for less than its fair market value because a television set is not covered in the definition of prescribed movable property.($)Refer next FAQ for situations in which prescribed movable property received for less than its fair market value is not charged to tax."
115,is it mandatory for all firms to file their return electronically?,"No. Only those firms, who have to get their accounts audited under 44AB of the Income Tax Act, 1961 need to e-File compulsorily."
116,how do i know whether my e-return is being processed at cpc bangalore or the assessing officer?,The taxpayer is advised to LOGIN to the website and GO TO 'My Account''My Returns/Forms' and check the status of Income Tax Return for a given Assessment Year.
117,can i make rectification or other correspondence with cpc in paper form?,No
118,is pension income taxed as salary income?,"Yes. However, pension received from the United Nations Organisation is exempt."
119,who cannot use itr  4s (sugam)?,"Form ITR  4S (SUGAM) cannot be used by an individual/HUF:Whose total income for the year includes income from more than one house property.Whose total income for the year includes income from winnings from lottery or income from race horses.Whose total income for the year includes income chargeable to tax under the head Capital Gains.Whose total income for the year includes agricultural income of more than Rs. 5,000.Whose total income for the year includes income from speculative business and other special incomes.Whose total income for the year includes income from profession as referred to insection 44AA(1).Whose total income for the year includes income from agency business or income in the nature of commission or brokerage.Who claims relief undersection 90,90Aand/orsection 91Who is a resident and ordinarily resident and has any assets (including financial interest in any entity) located outside India or signing authority in any account located outside India.In case of a taxpayer who is engaged in any business eligible for the presumptive taxation scheme ofsection 44AD orsection 44AEbut he does not opt for the presumptive taxation scheme, then such a taxpayer has to maintain the books of account of the business as per the provisions ofsection 44AAand has to get these accounts audited. In such a case he cannot use ITR 4S.In case of a taxpayer who is engaged in any business eligible for the presumptive taxation scheme ofsection 44ADorsection 44AEbut he does not opt for the presumptive taxation scheme, then such a taxpayer has to maintain the books of account of the business as per the provisions ofsection 44AA and has to get his accounts audited. In such a case he cannot use ITR 4S."
120,my challan of payment of advance tax or self assessment tax does not contain correct pan or assessment year. will the claim be allowed?,No. You are advised to get it corrected by making written request to Branch of Bank from where payment has been made within 7 days of payment and thereafter to your Assessing Officer. Detailed challan correction mechanism is available at http://incometaxindia.gov.in/archive/LeftMenu_ChallanCorrectionMechanism_26082011.pdf
121,"in case of a self-occupied property, how much of interest on housing loan can be claimed as deduction?","The provisions relating to deduction undersection 24(b)on account of interest on housing loan in case of self-occupied property are same as applicable in case of let-out property. In other words, deduction available to taxpayer undersection 24(b)in respect of self-occupied property will be 1/5th of interest pertaining to pre-construction period (if any) + Interest pertaining to post-construction period (if any) [provisions ofsection 24(b)are already discussed in earlier FAQ].However, in the case of self-occupied property, deduction undersection 24(b) cannot exceed Rs.2,00,000 or Rs. 30,000 (as the case may be). If all the following conditions are satisfied, then the limit in respect of interest on borrowed capital will be Rs.2,00,000:  Capital is borrowed on or after 1-4-1999.  Capital is borrowed for the purpose of acquisition or construction (i.e.,not for repair, renewal, reconstruction).  Acquisition or construction is completed within 5 years from the end of the financial year in which the capital was borrowed.  The person extending the loan certifies that such interest is payable in respect of the amount advanced for acquisition or construction of the house or as re-finance of the principal amount outstanding under an earlier loan taken for acquisition or construction of the property.If any of the above condition is not satisfied, then the limit of Rs. 2,00,000 will be reduced to Rs. 30,000."
122,"as per the presumptive taxation scheme of section 44ae, income of a taxpayer will be computed at the rate of rs. 7,500 per goods vehicle per month and in such a case can the taxpayer claim any further deductions from the presumptive income declared at the prescribed rate?","Under the normal provisions of the Income-tax Act, taxable business income will be computed after allowing deduction in respect of expenses which are deductible as per the Income-tax Actand after disallowing expenses which are not deductible as per the Income-tax Act.In case of a person who is opting for the presumptive taxation scheme ofsections 44AE, the provisions of allowance/disallowances as provided under the Income-tax Act, will not apply and income computed at the presumptive rate of Rs. 7,500 per goods vehicle per month will be the final incomeand no further expenses will be allowed or disallowed.However, in case of a taxpayer, being a partnership firm, opting for the presumptive taxation scheme, from the income computed at the rate of Rs. 7,500 per goods vehicle per month, further deduction can be claimed on account of remuneration and interest paid to partners (computed as per the Income-tax Act).While computing income as per the provisions ofsections 44AE, separate deduction on account of depreciation is not available, however, the written down value of any asset used in such business shall be calculated as if depreciation as persection 32 is claimed and has been actually allowed."
123,"is there any remedy available under the act, if a person does not file the statement within the prescribed time?","Section 285BA(5)empower the tax authorities to issue a notice to the person who had not filed the statement within prescribed time. In such a case, the tax authorities may serve upon such person a notice requiring him to furnish the statement within a period not exceeding 30 days from the date of service of such notice and in such a case the person shall furnish the statement within the time as specified in the notice."
124,i have e-filed my income tax return but not received my refund till now.,"If you have not received refund till date, it could be due to the following reasons:1. Your Income Tax Return has not been processed yet. Once the return is processed you may receive a Refund (if determined). To check the status of your e-Filed IT Return, LOGIN and GO TO 'My Account' 'My Returns/Forms'.2. Your Income Tax Return has been processed but no refund is determined.3. Your Income Tax Return has been processed, a refund has been determined, but the Cheque/ ECS credit could not reach you. This could be because of wrong address, not being available at home (door locked), wrong Bank Account number for ECS credit. To check if your Refund has returned back to us, LOGIN and GO TO 'My Account' 'My Returns/Forms' and check the status."
125,what is the mode and due date for filing of statement of financial transaction or reportable account?,"The statement of financial transaction shall be furnished electronically (under digital signature) in Form No. 61A to the Director of Income-tax (Intelligence and Criminal Investigation) or the Joint Director of Income-tax (Intelligence and Criminal Investigation). However a Post Master General or a Registrar or an Inspector General may furnish Form No. 61A in a computer readable media being a Compact Disc or Digital Video Disc (DVD), alongwith the verification in Form-V on paper.Further, the statement shall be furnished on or before 31st May immediately following the financial year in which the transaction is registered or recorded."
126,who cannot use itr  4?,"Form ITR  4 cannot be used by any person other than an individual or a HUF. Further, an individual or a HUF not having income from business or profession cannot use ITR  4."
127,"even if no taxes have been deducted from salary, is there any need for my employer to issue form-16 to me?","Form-16 is a certificate of TDS. In your case it will not apply. However, your employer can issue a salary statement."
128,should i intimate my pan to deductor i.e. person deducting tax?,"Yes, you should intimate your PAN to the deductor i.e. person deducting tax. From 1st April, 2010, non-furnishing of PAN to deductors results in TDS at much higher rate of 20% or even more."
129,what is considered as salary income?,"section 17 of the Income-tax Act defines the term salary. However, not going into the technical definition, generally whatever is received by an employee from an employer in cash, kind or as a facility [perquisite] is considered as salary."
130,how will the new tan be intimated to the deductor?,NSDL will ensure intimation of new TAN at the address indicated in the Form 49B
131,how pan is formed and how it gets its unique identity?,"PAN is a ten-digit unique alphanumeric number issued by the Income Tax Department. The formation of PAN is discussed below :Out of the first five characters, the first three characters represent the alphabetic series running from AAA to ZZZ. (E.g.ALWPG5809L).The fourth character of PAN represents the status of the PAN holder (E.g.ALWPG5809L). ""A"" stands for Association of Persons (AOP)""A"" stands for Association of Persons (AoP)""B"" stands for Body of Individuals (BOI)""C"" stands for Company""E"" stands for Limited Liability Partnership""F"" stands for Firm""G"" stands for Government Agency""H"" stands for Hindu Undivided Family (HUF)""J"" stands for Artificial Juridical Person""L"" stands for Local Authority""P"" stands for Individual""T"" stands for TrustFifth character of PAN represents the first character of the PAN holder's last name/surname in case of an individual. In case of non-individual PAN holders fifth character represents the first character of PAN holder's name (E.g.ALWPG5809L)Next four characters are sequential numbers running from 0001 to 9999 (E.g.ALWPG5809L).Last character,i.e., the tenth character is an alphabetic check digit (E.g.ALWPG5809L).The combination of all the above items gives the PAN its unique identity."
132,"how can i open the pdf for intimation u/s 143(1) or rectification order u/s154 pdf, which is password protected?","The password is a combination of PAN (in lower case) and DOB in ddmmyyyy format for e.g. for PAN : bcmps1106b and dob : 02/10/1980, the password should be entered as bcmps1106b02101980."
133,what is the difference between e-filing and e-payment?,"E-payment is the process of electronic payment of tax (i.e., by net banking or SBIs debit/credit card) and e-filing is the process of electronically furnishing of return of income. Using the e-payment and e-filing facility, the taxpayer can discharge his obligations of payment of tax and furnishing of return easily and quickly."
134,"if a person is required by or under any other law to get his accounts audited, then is it compulsory for him to once again get his accounts audited to comply with the requirement of section 44ab?","Persons like company or co-operative society are required to get their accounts audited under their respective law.Section 44ABprovides that, if a person is required by or under any other law to get his accounts audited, then he need not again get his accounts audited to comply with the requirement ofsection 44AB. Is such a case, it shall be sufficient if such person gets the accounts of such business or profession audited under such law and obtains the report of the audit as required under such other law and also a report by the chartered accountant in the form prescribed undersection 44AB, i.e., Form No. 3CA and Form 3CD (refer to next FAQ for relevance of these forms)."
135,"error code 3:""part a, p and l and/or part a bs (balance sheet) have not been filled""","In case, if there are only pre-operative expenses, even then those expenses should be entered in P&L account. Then, assessee is also required to add back such expenses in serial no. 22 of schedule BP (i.e. ""Any other item or items of addition under section 28 to 44AD"") in the new xml which will be filed in response to this communication.Please ensure that Profit & Loss and Balance Sheet to be filled in case of both Indian and Foreign Company."
136,"while registering my dsc, an error appears on the screen as ""invalid digital signature certificate. please contact your certificate provider"". what should i do?","This could be due to the below reasons:1. Digital Signature Certificate is revoked.2. Digital Signature Certificate is not Level 2 or above. Only Level 2 or above Digital Certificates can be registered on e-Filing website.In this case, you should contact the Certificate Provider and get your Digital Signature Certificate checked."
137,can more than one itr-v be sent to cpc in one envelope?,"Yes, any number of ITR-Vs can be sent in one envelope. Caution has to be maintained that the bar code printed in the ITR-V does not get folded."
138,"am i liable for any criminal prosecution [arrest/imprisonment, etc.] if i dont file my income-tax return, even though my income is taxable?","Non-payment of tax attracts interests, penalty and prosecution. The prosecution can lead to rigorous imprisonment from 3 months to 2 years (when the tax sought to be evaded exceeds Rs. 25,00,000 the punishment could be 6 months to 7 years)."
139,what will be the tax implications if a person occupies more than one property for his residence? can he treat all the properties as self occupied (sop) and claim gross annual value (gav) as nil?,"The SOP benefit (i.e.,treating property as SOP and claiming GAV as Nil) is available only in respect of one property occupied by the owner for his residence.If a person occupies more than one property for his residence, then the SOP benefit will be granted only in respect of any one property as selected by him and other property/properties will be treated as ""Deemed to be let-out"". Income from deemed to be let-out property is computed in the same manner as discussed in the case of ""Let-out"" Property."
140,"what is the meaning of unabsorbed depreciation, unabsorbed capital expenditure on scientific research and unabsorbed capital expenditure on promoting family planning amongst the employees?","Apart from several other deductions, while computing income chargeable to tax under the head ""Profits and gains of business or profession"" a person is allowed to claim deduction on account for depreciation, capital expenditure incurred by him on scientific research and capital expenditure incurred by a company for promoting family planning amongst its employees.If the income of the year in which these expenses are incurred falls short of these expenses, then the unabsorbed expenses can be carried forward to next year in the form of unabsorbed depreciation or unabsorbed capital expenditure on scientific research or unabsorbed capital expenditure on promoting family planning amongst the employees. Consider the following illustration for better understanding.IllustrationBusiness income (computed as per the provisions of Income-tax Law) of Mr. Kiran before allowing deduction on account of depreciation amounted to Rs. 84,000. Depreciation as per the provisions ofsection 32amounted to Rs. 1,00,000. What will be the amount of unabsorbed depreciation in this case?**It can be observed that business income before claiming deduction undersection 32on account of depreciation is Rs. 84,000 and depreciation allowable as persection 32 is Rs. 1,00,000, hence, after claiming deduction on account of depreciation of Rs. 1,00,000, there will be a loss of Rs. 16,000. This loss is on account of depreciation and, hence, loss of Rs 16,000 will be termed as unabsorbed depreciation."
141,apart from marriage are there any other occasions in which monetary gift received by an individual will not be charged to tax?,"Gift received only on the occasion of marriage of the individual is not charged to tax. Apart from marriage there is no other occasion in which gift received by an individual is not charged to tax. Hence, gift received on occasions like birthday, anniversary, etc. will be charged to tax."
142,"'validate', 'calculate tax', 'generate' buttons are not working in return preparation software provided by the department.","Macros should be enabled in the Return Preparation Software. Below are the steps to enable Macros: 1. For Excel 2003 users: Click on TOOLS menu and select OPTIONS SECURITY Macro Security must be set to Medium or Low. 2. For Excel 2007 and Excel 2010 users: Click on the OFFICE button on the top left corner of the application and click EXCEL OPTIONS TRUST CENTER Trust Center Settings button Select Macro Settings and click on radio button ""Enable All Macros""."
143,what is the meaning of the term short-term capital asset?,"Any capital asset held by a person for a period of not more than 36 months immediately preceding the date of its transfer will be a short-term capital asset.However, in respect of certain assets like shares (equity or preference) which are listed in a recognised stock exchange in India, units of equity oriented mutual funds, listed securities like debentures and Government securities, Units of UTI and Zero Coupon Bonds, the period of holding to be considered is 12 months instead of 36 months.In case of unlisted shares in a company, the period of holding to be considered is 24 months instead of 36 months.IllustrationMr. Raj is a salaried employee. On 8thApril, 2014, he purchased a piece of land and sold the same on 29thJune, 2016. In this case, land is a capital asset for Mr. Raj. He purchased the land on 8thApril, 2014 and sold it on 29thJune, 2016,i.e.,after holding it for a period of less than 36 months. Hence, land will be a short-term capital asset.IllustrationMr. Kumar is a salaried employee. On 8th July, 2015, he purchased shares of SBI Ltd. (listed in BSE) and sold the same on 29thJune, 2016. In this case, shares are capital assets for Mr. Kumar. He purchased shares on 8th July, 2015 and sold them on 29thJune, 2016,i.e.,after holding them for a period of less than 12 months. Hence, shares are short-term capital assets."
144,do any clubbing provisions exist in case of a revocable transfer?,"Revocable transfer is generally a transfer in which the transferor directly or indirectly exercises control/right over the asset transferred or over the income from the asset.As persection 61, if a transfer is held to be a revocable, then income from the asset covered under revocable transfer is taxed in the hands of the transferor. The provisions ofsection 61will not apply in case of a transfer by way of trust which is not revocable during the life time of the beneficiary or a transfer which is not revocable during the lifetime of the transferee."
145,how can i reject an income tax form filed by a chartered accountant on my behalf?,"LOGIN using your credentials and GO TO Work-list. Select the Income Tax Form you wish to reject, provide comments and click on the Reject button."
146,what are the precautions that i should take while filling-up the tax payment challan?,"While making payment of tax, apart from other things, one should clearly mention following :Head of payment,i.e., Corporation Tax/Income-tax (other than companies)Amount and mode of payment of tax Type of payment [i.e.,Advance tax/Self assessment tax/Tax on regular assessment/Tax on Dividend/Tax on distributed Income to Unit holders/Surtax] Assessment yearThe unique identification number called as PAN [Permanent Account Number] allotted by the IT Department."
147,what is assessment under section 144?,Assessment undersection 144 (called best judgment assessment) is an assessment carried out as per the best judgment of the Assessing Officer. Best judgment assessment is resorted due to certain failures (specified under section 144) on the part of the taxpayer (discussed in next FAQ).
148,"i am assigned as a legal heir for a deceased person. while uploading the income tax return of the deceased, i am getting an error ""pan mentioned on personal information is invalid"". what do i do?","Please ensure that the PAN entered in the Verification section of the Income Tax Return is your (Legal heir) PAN and not of the deceased person. Also, if the Income Tax Return is being digitally signed, the PAN encrypted in the DSC must match with the PAN mentioned in the verification section."
149,"if a person adopts the presumptive taxation scheme of section 44ada, then is he liable to pay advance tax in respect of income from profession covered under section 44ada?",A person opting for the presumptive taxation scheme ofsections 44ADA is also liable to pay advance tax.
150,will i be put to any disadvantage by filing my return?,"No, on the contrary by not filing your return inspite of having taxable income, you will be liable to the penalty and prosecution provisions under the Income-tax Act."
151,what is the time limit for making the assessment under section 144 i.e. best judgment assessment?,"As persection 153, assessment undersection 144shall be made within a period of 21 months from end of the assessment year in which income was first assessable. [Inserted by the Finance Act, 2016 w.e.f. 1-6-2016]Note: If reference is made to TPO, the period available for assessment shall be extended by 12 months"
152,can an income tax return e-filed with one itr form say itr-2 be rectified in any other itr form?,No.
153,is my responsibility under the income-tax act over once taxes are paid?,"No, you are thereafter responsible for ensuring that the tax credits are available in your tax credit statement and TDS/TCS certificates received by you and that full particulars of income and tax payment are submitted to the Income-tax Department in the form of Return of Income which is to be filed before the due date prescribed in this regard."
154,how to determine the residential status of an individual?,"To determine the residential status of an individual, the first step is to ascertain whether he is resident or non-resident. If he turns to be a resident, then the next step is to ascertain whether he is resident and ordinarily resident or is a resident but not ordinarily resident.Step 1 given below will ascertain whether the individual is resident or non-resident and step 2 will ascertain whether he is ordinarily resident or not ordinarily resident. Step 2 is to be performed only if the individual turns to be a resident.Step 1: Determining whether resident or non-residentUnder the Income-tax Law, an individual will be treated as a resident in India for a year if he satisfies any of the following conditions (i.e.may satisfy any one or may satisfy both the conditions):(1) He is in India for a period of 182 days or more in that year; or(2) He is in India for a period of 60 days or more in the year and for a period of 365 days or more in 4 years immediately preceding the relevant year.If an individual does not satisfy any of the above conditions he will be treated as non-resident in India.Note :Condition given in (2) above will not apply to an Indian citizen leaving India for the purpose of employment or to an Indian citizen leaving India as a member of crew of Indian ship or to an Indian citizen/person of Indian origin coming on a visit to India. A person is said to be of Indian origin, if he or any of his parents or grand-parents (maternal or paternal) were born inundividedIndia.Note: With effect from Assessment Year 2015-16, in the case of an individual, being a citizen of India and a member of the crew of a foreign bound ship leaving India, theperiod or periods of stay in India shall, in respect of such voyage, be determined in the manner and subject to such conditions as may be prescribed.Step 2: Determining whether resident and ordinarily resident or resident but not ordinarily residentA resident individual will be treated as resident and ordinarily resident in India during the year if he satisfies following conditions:(1) He is resident in India for at least 2 years out of 10 years immediately preceding the relevant year.(2) His stay in India is for 730 days or more during 7 years immediately preceding the relevant year.A resident individual who does not satisfy any of the aforesaid conditions or satisfies only one of the aforesaid conditions will be treated as resident but not ordinarily resident.In short, following test will determine the residential status of an individual:If the individual satisfy any one or both the conditions specified at step 1 and satisfies both the conditions specified at step 2, then he will become resident and ordinarily resident in India.If the individual satisfy any one or both the conditions specified at step 1 and satisfies none or one condition specified at step 2, then he will become resident but not ordinarily resident in India.If the individual satisfy no conditions satisfied at step one, then he will become non-resident."
155,can a legal heir e-file the income tax return of the deceased assessee?,"Yes. A Legal Heir can file Income Tax Return, View Status of Income Tax Return, ITR-V Acknowledgment and other filing status in respect of the Income Tax Return of the deceased person for the e-Filed Assessment Year."
156,are there any special provisions in case of carry forward and set off of loss in case of a company in which public are not substantially interested?,"As persection 79of the Income-tax Act, where a change in shareholding has taken place in a previous year in the case of a company, not being a company in which the public are substantially interested, no loss incurred in any year prior to the previous year shall be carried forward and set off against the income of the previous year unless-On the last day of the previous year the shares of the company carrying not less than fifty-one per cent of the voting power were beneficially held by person who beneficially held shares of the company carrying not less than fifty-one per cent of the voting power on the last day of theyear or years in which the loss was incurred.Restriction ofsection 79is applicable only in case of loss and is not applicable in case of adjustment of unabsorbed depreciation, unabsorbed capital expenditure on scientific research or family planning expenditure.Further, the provisions ofsection 79 are not applicable in case of change in share holding on account of death of shareholder or on account of transfer of shares by way of gift to any relative of the shareholder or change in shareholding in case of an Indian company which is a subsidiary of foreign company, when such foreign company is amalgamated/demerged with another foreign company and 51% or more shareholders of the amalgamating/demerged foreign company continues to be the shareholders of the amalgamated/resulting foreign company."
157,what are the benefits of obtaining a permanent account number [pan] and pan card?,"A Permanent Account Number has been made compulsory for every transaction with the Income-tax Department. It is also mandatory for numerous other financial transactions such as opening of bank accounts, in bank account, deposit of cash in bank account, opening of Demat account, transaction of immovable properties, dealing in securities, etc. A PAN card is a valuable means of photo identification accepted by all Government and non-Government institutions in the country."
158,is family pension taxed as salary income?,"No, it is taxable as income from other sources."
159,what is a return of income?,It is a prescribed form through which the particulars of income earned by a person in a financial year and taxes paid on such income are communicated to the Income-tax Department. Different forms of returns of income are prescribed for filing of returns for different Status and Nature of income. These forms can be downloaded from www.incometaxindia.gov.in
160,what is exempt income and taxable income?,"An exempt income is not charged to tax,i.e.,Income-tax Law specifically grants exemption from tax to such income. Incomes which are chargeable to tax are called as taxable incomes.E.g.,Dividend income from an Indian company is granted specific exemption and, hence, the same is not liable to tax in the hands of the shareholders. However, dividend from a foreign company is taxable."
161,what are the steps in brief to upload the income tax return on this website?,"Visit ITD e-filing websitehttps:\incometaxindiaefiling.gov.inOn homepage, GO TO 'Downloads' section and select applicable Income Tax Return Form of the relevant Assessment Year OR Login to e-Filing application and GO TO 'Downloads''Income Tax Return Forms' and select applicable Income Tax Return Form of the relevant Assessment Year.Download the excel utility of the Income Tax Return (ITR).Fill the excel utility and Validate.Generate an XML file and save in desired path/destination in your desktop/system.LOGIN to e-Filing application and GO TO e-File Upload Return.Select the Income Tax Return Form and the Assessment Year.Browse and Select the XML fileUpload Digital Signature Certificate, if available and applicable.Click 'SUBMIT'.On successful upload, Acknowledgement details would be displayed. Click the link to view or generate a printout of Acknowledgement/ITR-V Form."
